structure,mixingenergy
O96Os1Ru43Zn2Ti2,-4.671
O96Os1Ru44Co3,-2.160
O96Os1Ru44Mn1Cr2,-0.253
O96Os1Ru45Po1Ir1,-2.101
O96Os1Ru46Pt1,-0.271
O96Pb1Ru43Mo1Zn3,-11.547
O96Pb1Ru43Pt1Cr3,-2.842
O96Pb1Ru44Ag1Fe2,-5.794
O96Pb1Ru44Cd2V1,-10.552
O96Pb1Ru44Mn3,-4.758
O96Pb1Ru44Nb2Ni1,-6.659
O96Pb1Ru45Co2,-4.920
O96Pb1Ru45Re1Ga1,-5.982
O96Pb1Ru46Cd1,-6.108
O96Pb1Ru46Sb1,-3.984
O96Pd1Ru43Ag3V1,-6.297
O96Pd1Ru43Co3Sc1,-5.334
O96Pd1Ru43Rh3Zn1,-3.131
O96Pd1Ru43Y1V3,-5.587
O96Pd1Ru44Cd2Zr1,-6.970
O96Pd1Ru44Rh2V1,-2.331
O96Pd1Ru44Sn2Nb1,-2.253
O96Pd1Ru44Zr3,-1.737
O96Pd1Ru45In2,-5.032
O96Pd1Ru45Zr2,-1.791
O96Po1Ru44Au1Sb2,-5.410
O96Po1Ru44Cr3,-2.398
O96Po1Ru44In1Co2,-6.795
O96Po1Ru44Mo1V2,-4.270
O96Po1Ru44W2Fe1,-6.998
O96Po1Ru45Ag2,-4.830
O96Po1Ru45Ir1Ni1,-3.838
O96Po1Ru45La2,-7.622
O96Po1Ru45Zr2,-1.843
O96Po1Ru46Cd1,-4.900
O96Pt1Ru42Zn3V2,-9.565
O96Pt1Ru43Bi1Ga3,-4.416
O96Pt1Ru43Pb1V3,-4.298
O96Pt1Ru43W2Cr2,-5.533
O96Pt1Ru44Cd1Ag2,-6.665
O96Pt1Ru44Os2La1,-5.412
O96Pt1Ru44Pd1Co2,-2.040
O96Pt1Ru45Ag1Ni1,-2.261
O96Pt1Ru45La1Tc1,-4.501
O96Pt1Ru46Mo1,-2.066
O96Re1Ru42Po2Fe3,-6.833
O96Re1Ru43Au3Ta1,-3.235
O96Re1Ru43Bi3Co1,-5.900
O96Re1Ru43Ge3Cr1,-0.207
O96Re1Ru43Mo2Y2,-8.492
O96Re1Ru43Pb2W2,-6.004
O96Re1Ru43Zn1Mn3,-3.940
O96Re1Ru43Zr1V3,-2.105
O96Re1Ru44Mn3,-1.670
O96Re1Ru44Y2Ni1,-6.366
O96Re1Ru45Fe2,-1.276
O96Re1Ru45Ga2,-3.954
O96Re1Ru45Hf1Mn1,-0.464
O96Re1Ru45Os2,-0.759
O96Re1Ru45Po1Co1,-3.555
O96Re1Ru46Au1,-2.389
O96Re1Ru46Fe1,-0.884
O96Re1Ru46Po1,-2.618
O96Rh1Ru43Pd3Ga1,-3.482
O96Rh1Ru43Sn2Zn2,-4.402
O96Rh1Ru43Y3Ga1,-8.630
O96Rh1Ru44Cd1V2,-4.188
O96Rh1Ru44Mo1Nb2,-2.338
O96Rh1Ru44Sb3,-2.516
O96Rh1Ru45Ag1Ga1,-2.122
O96Rh1Ru45Mo1Co1,-2.803
O96Rh1Ru46Cu1,-1.845
O96Rh1Ru46Sb1,-1.700
O96Ru27Ta8Nb7Mn6,-17.231
O96Ru29Nb5Mn6V8,-9.921
O96Ru29Nb8Cu6V5,-19.923
O96Ru29Ta4Mn8V7,-8.467
O96Ru29Ta4Nb7Co8,-17.930
O96Ru29Ta9Cu10,-29.150
O96Ru30Co6Ta6Bi6,-16.513
O96Ru30Nb5Co7V6,-11.074
O96Ru30Nb6Co8Mn4,-12.343
O96Ru30Nb9Cu9,-22.544
O96Ru30V6Mn6Sn6,-1.711
O96Ru31Co4Mn7V6,-6.717
O96Ru31Co6Sn6Ta5,-9.592
O96Ru31Cu8Co4V5,-15.847
O96Ru31Mn5Nb6Sn6,-3.636
O96Ru32Cu5Mn4V7,-8.514
O96Ru32Cu7Co9,-16.044
O96Ru32Mn4Cu6Sn6,-6.733
O96Ru32Nb6Cu5Mn5,-12.107
O96Ru32Ta6Co10,-15.728
O96Ru33Co5Ga5Ta5,-17.129
O96Ru33Ga6Nb5Sn4,-11.891
O96Ru33Mn6Cu4Ta5,-14.267
O96Ru33Mn7V8,-4.642
O96Ru33Ta6Nb9,-12.061
O96Ru33V5Co4Bi6,-9.892
O96Ru33V5Sn5Ta5,-6.155
O96Ru33V6Ga6Bi3,-11.289
O96Ru34Co3Nb6Ta5,-14.885
